3783 11264
28 31 1
187 240 1
92 140 1
104 240 1
144 1997 1
31 153 1
155 1026 1
152 791 1
97 3743 1
151 625 1
115 246 1
0 1874 1
2221 3766 1
176 1351 1
4 135 1
1447 1604 1
17 2199 1
12 3053 1
78 313 1
7 499 1
597 3257 1
35 3775 -1
448 1003 1
276 3742 -1
2007 3748 1
15 654 1
79 875 1
83 1615 1
12 1536 1
1 1690 1
352 1915 1
225 1003 1
3 531 1
211 1721 1
23 797 1
38 216 1
22 1421 1
134 234 1
9 467 1
38 783 1
83 214 1
485 634 1
72 3345 1
253 2068 1
210 1138 1
153 402 1
32 319 1
34 2207 1
115 956 1
13 2811 1
17 1270 1
73 1126 1
178 3593 1
52 140 1
7 286 1
115 335 1
73 130 1
41 507 1
343 405 1
952 2335 1
1247 1249 1
1 2496 1
34 1385 1
29 1102 -1
10 123 1
227 3782 -1
66 452 1
24 700 1
791 1637 1
35 46 1
221 320 1
31 94 1
86 823 1
54 1318 1
114 3568 1
24 592 1
47 2113 1
48 829 1
14 3755 -1
3695 3714 1
128 168 1
33 2377 1
792 1314 1
45 3132 1
108 216 1
642 3109 1
32 44 1
178 3780 -1
71 3346 1
74 1099 1
83 444 1
262 1099 1
47 3580 1
823 957 -1
155 590 1
236 3768 -1
6 3769 -1
6 955 1
25 612 1
68 257 1
56 1134 1
0 3391 1
49 262 1
0 1024 1
90 222 1
493 665 1
16 3781 1
78 2098 1
14 144 -1
110 3717 -1
9 176 1
253 1119 1
338 534 1
2 2297 1
243 1059 1
45 2277 1
9 57 1
108 147 1
10 1512 1
0 3083 1
368 2041 1
23 315 1
6 145 1
132 798 1
278 1594 1
329 3778 -1
29 196 1
455 1825 1
490 3730 1
0 3253 1
17 689 1
2 12 1
24 486 1
25 349 1
11 374 1
3 364 1
327 910 1
22 107 1
41 1336 1
39 1213 1
18 893 1
4 2407 -1
62 208 1
7 283 1
135 1793 1
358 2615 1
83 223 1
97 899 1
172 3576 1
106 548 1
7 346 -1
1387 3563 1
1070 1194 1
23 31 1
3 533 1
36 139 1
103 3503 1
1443 3742 1
24 317 1
94 2952 1
283 2127 1
32 970 1
187 572 1
18 3741 -1
350 431 1
132 797 1
5 35 1
574 615 1
192 528 1
40 393 1
26 590 1
8 870 1
142 1284 1
8 78 1
43 155 1
358 2616 1
11 115 1
44 50 1
7 811 -1
182 423 1
13 938 1
20 144 1
547 3773 1
681 2714 1
71 2760 1
14 823 1
123 318 1
57 600 1
2 20 1
20 361 1
2 286 1
367 2667 1
84 164 1
48 144 1
21 357 1
223 2471 1
10 87 1
269 378 1
58 80 1
348 1158 1
89 2037 1
43 162 1
276 347 1
71 1475 1
117 162 1
115 3773 1
147 767 1
51 960 1
29 3163 1
5 132 1
79 3782 -1
3600 3769 -1
126 2260 1
210 1142 1
84 187 1
248 3773 -1
579 2704 1
45 880 1
191 351 1
11 240 1
0 733 1
875 3654 -1
112 1126 1
847 996 1
13 266 1
3461 3464 -1
352 1101 1
2 124 1
646 3681 -1
1917 3730 1
76 544 1
0 3026 1
160 694 1
279 287 1
89 327 1
29 158 1
93 374 1
577 2026 1
87 317 1
4 80 1
343 676 1
1071 2335 1
33 396 1
104 291 1
41 308 1
1139 3781 1
9 481 1
202 490 1
2439 3730 1
125 2416 1
14 178 1
32 959 1
114 334 1
18 172 1
443 3171 -1
248 743 1
506 3767 1
146 3114 1
